Institution,ins_key
Library of Congress,ins_1
National Library of Brazil,ins_2
Russian State Library,ins_3
National Library of Russia,ins_4
Mamma Haidara Commemorative Library,ins_5
Bibliotheca Alexandrina,ins_6
National Library and Archives of Egypt,ins_7
Irish College in Paris,ins_8
Vilnius University Library,ins_9
National Library of China,ins_10
Iraqi National Library and Archives,ins_11
National Library of Uganda,ins_12
University of Texas Libraries,ins_13
National Library of Sweden,ins_14
Uppsala University Library,ins_15
Boris Yeltsin Presidential Library,ins_16
National Library of France,ins_17
Tetouan-Asmir Association,ins_18
National Central Library,ins_19
National Library of Serbia,ins_20
Qatar National Library,ins_21
Pontifical Institute of Mediaeval Studies,ins_22
National Library of Israel,ins_23
"Columbus Memorial Library, Organization of American States",ins_24
University Library in Bratislava,ins_25
Center for the Study of the History of Mexico CARSO,ins_26
Royal Netherlands Institute of Southeast Asian and the Caribbean Studies KITLV,ins_27
U.S. National Archives and Records Administration,ins_28
John Carter Brown Library,ins_29
Wellcome Library,ins_30
National Diet Library,ins_31
Brown University Library,ins_32
Berlin State Library - Prussian Cultural Heritage Foundation,ins_33
University of Pretoria Library,ins_34
Government College University Lahore,ins_35
Yale University Library,ins_36
National Institute of Anthropology and History INAH,ins_37
University of South Carolina,ins_38
State Library of South Australia,ins_39
Walters Art Museum,ins_40
State Library and Archives of Florida,ins_41
National Library of Chile,ins_42
National Library of Wales,ins_43
National Library of the Netherlands,ins_44
"Allama Iqbal Library, University of Kashmir",ins_45
Central Library of the Bulgarian Academy of Sciences,ins_46
Holy Spirit University of Kaslik,ins_47
Bavarian State Library,ins_48
"James Ford Bell Library, University of Minnesota",ins_49
National Library of Korea,ins_50
Greek-Catholic Diocese of Aleppo,ins_51
University Library of Padua,ins_52
University Library of Naples,ins_53
University Library of Sassari,ins_54
National Central Library of Florence,ins_55
Smithsonian Institution,ins_56
Austrian National Library,ins_57
National Library of Naples,ins_58
"National Academic Library of the Republic of Kazakhstan, Astana",ins_59
University of Wisconsin-Milwaukee Libraries,ins_60
Near East School of Theology,ins_61
Syriac-Orthodox Archdiocese of Aleppo,ins_62
Our Lady of Balamand Patriarchal Monastery,ins_63
Slovak National Library,ins_64
National Library of Kazakhstan,ins_65
National Library of Spain,ins_66
Abu Dhabi Authority for Culture and Heritage,ins_67
National Library of Latvia,ins_68
Latvenergo AS Power Industry Museum,ins_69
Latvian War Museum,ins_70
National and University Library of Bosnia and Herzegovina,ins_71
National Library of Norway,ins_72
V.I. Vernadsky National Library of Ukraine,ins_73
Yaroslav Mudryi National Library of Ukraine,ins_74
University of Hawaii at Manoa Library,ins_75
Romanian Academy Library,ins_76
National Library of Jamaica,ins_77
Scientific Library of Lviv Polytechnic National University,ins_78
Autonomous University of Nuevo Leon,ins_79
National Library of Argentina,ins_80
Museum Plantin-Moretus/Print Room,ins_81
National Library of Colombia,ins_82
The Library Company of Philadelphia,ins_83
National University of Kyiv Mohyla Academy Library,ins_84
General Archive of the Nation,ins_85
King Abdulaziz University Library,ins_86
Pontifical Catholic University of Chile,ins_87
"Estense Library, Modena",ins_88
Hill Museum & Manuscript Library,ins_89
Library of the National Academy of the Lincei and of the Corsini Family,ins_90
EAFIT University,ins_91
The Municipal Library of Porto,ins_92
"Medicea Laurenziana Library, Florence",ins_93
Municipal Library Intronati,ins_94
National Library and Archives of the Islamic Republic of Iran,ins_95
Riccardiana Library of Florence,ins_96
National Library of Bulgaria,ins_97
"Illinois State University's Special Collections, Milner Library",ins_98
Circus World Museum,ins_99
The John and Mable Ringling Museum of Art,ins_100
Central Scientific Library of V.N. Karazin Kharkiv National University,ins_101
"Royal Library (The), Denmark",ins_102
National Library of South Africa,ins_103
Folger Shakespeare Library,ins_104
National Library of Belarus,ins_105
"John M. Kelly Library, University of St. Michael's College in the University of Toronto",ins_106
National Library of Armenia,ins_107
The American University in Cairo Rare Books and Special Collections Library,ins_108
Casanatense Library,ins_109
Library of the National Monument of Grottaferrata,ins_110
United Nations Office at Geneva Library,ins_111
"Saxon State and University Library, Dresden",ins_112
Alessandrina Library,ins_113
National and University Library “St Kliment Ohridski” – Skopje,ins_114
Educational Documentation Centre of Circus Arts (CEDAC),ins_115
The Bolshoi St. Petersburg State Circus - Museum of Circus Art,ins_116
National Library of Albania,ins_117
"Cabildo of Gran Canaria, Canary Islands",ins_118
National Library of Portugal,ins_119
unknown,ins_120
Institution,ins_121
